Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,1000,Integer,9655969,,,,,,,,,
PassPerItem,1000,Integer,9595545,,,,,,,,,
PassPerItem,1000,Integer,9564294,,,,,,,,,
PassPerItem,1000,Integer,9631939,,,,,,,,,
PassPerItem,1000,Integer,9561882,,,,,,,,,
PassPerItem,1000,Integer,9591106,,,,,,,,,
PassPerItem,1000,Integer,9541345,,,,,,,,,
PassPerItem,1000,Integer,9542163,,,,,,,,,
PassPerItem,1000,Integer,9546115,,,,,,,,,
PassPerItem,1000,Integer,9606816,,,,,,,,,
PassPerItem,1000,Integer,9590902,,,,,,,,,
PassPerItem,1000,Integer,9548149,,,,,,,,,
PassPerItem,1000,Integer,9606018,,,,,,,,,
PassPerItem,1000,Integer,9594224,,,,,,,,,
PassPerItem,1000,Integer,9735807,,,,,,,,,
PassPerItem,1000,Integer,9590799,,,,,,,,,
PassPerItem,1000,Integer,9591945,,,,,,,,,
PassPerItem,1000,Integer,9231826,,,,,,,,,
PassPerItem,1000,Integer,9588364,,,,,,,,,
PassPerItem,1000,Integer,9641380,,,,,,,,,
PassPerItem,1000,Integer,9552060,,,,,,,,,
PassPerItem,1000,Integer,9552532,,,,,,,,,
PassPerItem,1000,Integer,9979883,,,,,,,,,
PassPerItem,1000,Integer,9699812,,,,,,,,,
PassPerItem,1000,Integer,9631912,,,,,,,,,
PassPerItem,1000,Integer,9606384,,,,,,,,,
PassPerItem,1000,Integer,9571704,,,,,,,,,
PassPerItem,1000,Integer,9299478,,,,,,,,,
PassPerItem,1000,Integer,9196777,,,,,,,,,
PassPerItem,1000,Integer,9237722,,,,,,,,,
PassPerItem,1000,Integer,9669598,,,,,,,,,
PassPerItem,1000,Integer,9553029,,,,,,,,,
PassPerItem,1000,Integer,9558269,,,,,,,,,
PassPerItem,1000,Integer,9739105,,,,,,,,,
PassPerItem,1000,Integer,9596712,,,,,,,,,
PassPerItem,1000,Integer,9594575,,,,,,,,,
PassPerItem,1000,Integer,9577643,,,,,,,,,
PassPerItem,1000,Integer,9633069,,,,,,,,,
PassPerItem,1000,Integer,9639179,,,,,,,,,
PassPerItem,1000,Integer,9618523,,,,,,,,,
PassPerItem,1000,Integer,9590291,,,,,,,,,
