Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
WhileNeeded,100,Integer,33466,,,,,,,,,
WhileNeeded,100,Integer,33812,,,,,,,,,
WhileNeeded,100,Integer,33789,,,,,,,,,
WhileNeeded,100,Integer,33686,,,,,,,,,
WhileNeeded,100,Integer,33577,,,,,,,,,
WhileNeeded,100,Integer,33739,,,,,,,,,
WhileNeeded,100,Integer,33590,,,,,,,,,
WhileNeeded,100,Integer,33560,,,,,,,,,
PassPerItem,1000,Integer,9725170,,,,,,,,,
PassPerItem,1000,Integer,9959721,,,,,,,,,
PassPerItem,1000,Integer,10166807,,,,,,,,,
PassPerItem,1000,Integer,9956719,,,,,,,,,
PassPerItem,1000,Integer,9743839,,,,,,,,,
PassPerItem,1000,Integer,9668302,,,,,,,,,
PassPerItem,1000,Integer,9673455,,,,,,,,,
PassPerItem,1000,Integer,9668730,,,,,,,,,
PassPerItem,1000,Integer,9757341,,,,,,,,,
PassPerItem,1000,Integer,9856288,,,,,,,,,
PassPerItem,1000,Integer,9734663,,,,,,,,,
PassPerItem,1000,Integer,10083359,,,,,,,,,
PassPerItem,1000,Integer,10082804,,,,,,,,,
PassPerItem,1000,Integer,10159798,,,,,,,,,
PassPerItem,1000,Integer,10191157,,,,,,,,,
PassPerItem,1000,Integer,10124690,,,,,,,,,
PassPerItem,1000,Integer,10137494,,,,,,,,,
PassPerItem,1000,Integer,10151671,,,,,,,,,
PassPerItem,1000,Integer,10096551,,,,,,,,,
PassPerItem,1000,Integer,9845469,,,,,,,,,
PassPerItem,1000,Integer,9671016,,,,,,,,,
PassPerItem,1000,Integer,9905617,,,,,,,,,
PassPerItem,1000,Integer,9688711,,,,,,,,,
PassPerItem,1000,Integer,9644440,,,,,,,,,
PassPerItem,1000,Integer,9674753,,,,,,,,,
PassPerItem,1000,Integer,9645274,,,,,,,,,
PassPerItem,1000,Integer,9660263,,,,,,,,,
PassPerItem,1000,Integer,10223082,,,,,,,,,
PassPerItem,1000,Integer,9679132,,,,,,,,,
PassPerItem,1000,Integer,9883638,,,,,,,,,
PassPerItem,1000,Integer,9638444,,,,,,,,,
PassPerItem,1000,Integer,9668649,,,,,,,,,
PassPerItem,1000,Integer,9933669,,,,,,,,,
PassPerItem,1000,Integer,9709929,,,,,,,,,
PassPerItem,1000,Integer,9701512,,,,,,,,,
PassPerItem,1000,Integer,9654305,,,,,,,,,
PassPerItem,1000,Integer,9839800,,,,,,,,,
PassPerItem,1000,Integer,9972925,,,,,,,,,
PassPerItem,1000,Integer,12657130,,,,,,,,,
PassPerItem,1000,Integer,9634089,,,,,,,,,
PassPerItem,1000,Integer,9606169,,,,,,,,,
PassPerItem,1000,Integer,9670037,,,,,,,,,
PassPerItem,1000,Integer,9621518,,,,,,,,,
PassPerItem,1000,Integer,9735904,,,,,,,,,
PassPerItem,1000,Integer,9650293,,,,,,,,,
PassPerItem,1000,Integer,9636910,,,,,,,,,
PassPerItem,1000,Integer,9663430,,,,,,,,,
PassPerItem,1000,Integer,9641820,,,,,,,,,
PassPerItem,1000,Integer,9617059,,,,,,,,,
