Algorithm,Size,Type,Time (nanoseconds)
UntileNoChange,1000,Integer,10316317
UntileNoChange,1000,Integer,10546647
UntileNoChange,1000,Integer,9183078
UntileNoChange,1000,Integer,10412140
UntileNoChange,1000,Integer,9569000
UntileNoChange,1000,Integer,9652424
UntileNoChange,1000,Integer,9913995
UntileNoChange,1000,Integer,10357661
UntileNoChange,1000,Integer,10193745
UntileNoChange,1000,Integer,10265736
UntileNoChange,1000,Integer,10790129
UntileNoChange,1000,Integer,10052788
UntileNoChange,1000,Integer,10062597
UntileNoChange,1000,Integer,10478315
UntileNoChange,1000,Integer,10269419
UntileNoChange,1000,Integer,9762708
UntileNoChange,1000,Integer,9550875
UntileNoChange,1000,Integer,9883965
UntileNoChange,1000,Integer,9850169
UntileNoChange,1000,Integer,10473997
UntileNoChange,1000,Integer,11072603
UntileNoChange,1000,Integer,10427902
UntileNoChange,1000,Integer,11161811
UntileNoChange,1000,Integer,10663831
UntileNoChange,1000,Integer,10300490
UntileNoChange,1000,Integer,10345604
UntileNoChange,1000,Integer,10338635
UntileNoChange,1000,Integer,10038490
UntileNoChange,1000,Integer,10809030
UntileNoChange,1000,Integer,10230285
UntileNoChange,1000,Integer,10379870
UntileNoChange,1000,Integer,9767918
UntileNoChange,1000,Integer,10539752
UntileNoChange,1000,Integer,10365071
UntileNoChange,1000,Integer,10286404
UntileNoChange,1000,Integer,10211354
UntileNoChange,1000,Integer,10023684
UntileNoChange,1000,Integer,10267880
UntileNoChange,1000,Integer,9970501
UntileNoChange,1000,Integer,10427969
UntileNoChange,1000,Integer,10047291
UntileNoChange,1000,Integer,10076124
UntileNoChange,1000,Integer,10216345
UntileNoChange,1000,Integer,10083241
UntileNoChange,1000,Integer,10985944
UntileNoChange,1000,Integer,11270670
UntileNoChange,1000,Integer,11519761
UntileNoChange,1000,Integer,11167494
UntileNoChange,1000,Integer,10793703
UntileNoChange,1000,Integer,10850671
UntileNoChange,1000,Integer,10802449
UntileNoChange,1000,Integer,10874718
UntileNoChange,1000,Integer,11869937
UntileNoChange,1000,Integer,11153688
UntileNoChange,1000,Integer,11152694
UntileNoChange,1000,Integer,10862203
UntileNoChange,1000,Integer,11274666
UntileNoChange,1000,Integer,11902228
UntileNoChange,1000,Integer,10694549
UntileNoChange,1000,Integer,11965834
UntileNoChange,1000,Integer,11327335
UntileNoChange,1000,Integer,11245406
UntileNoChange,1000,Integer,11355177
UntileNoChange,1000,Integer,11570870
UntileNoChange,1000,Integer,11889628
UntileNoChange,1000,Integer,10890606
UntileNoChange,1000,Integer,10686801
UntileNoChange,1000,Integer,10634742
UntileNoChange,1000,Integer,10618351
UntileNoChange,1000,Integer,10715389
UntileNoChange,1000,Integer,10846622
UntileNoChange,1000,Integer,11038898
UntileNoChange,1000,Integer,11012568
UntileNoChange,1000,Integer,9936117
UntileNoChange,1000,Integer,10221809
UntileNoChange,1000,Integer,10409177
UntileNoChange,1000,Integer,10313941
UntileNoChange,1000,Integer,10453986
UntileNoChange,1000,Integer,10783795
UntileNoChange,1000,Integer,11536953
UntileNoChange,1000,Integer,11473525
UntileNoChange,1000,Integer,10675516
UntileNoChange,1000,Integer,11095495
UntileNoChange,1000,Integer,11951696
UntileNoChange,1000,Integer,10647122
UntileNoChange,1000,Integer,11870378
UntileNoChange,1000,Integer,11645768
UntileNoChange,1000,Integer,10632031
UntileNoChange,1000,Integer,11072955
UntileNoChange,1000,Integer,11710289
UntileNoChange,1000,Integer,10542674
UntileNoChange,1000,Integer,10878087
UntileNoChange,1000,Integer,11448745
UntileNoChange,1000,Integer,10574809
UntileNoChange,1000,Integer,11053442
UntileNoChange,1000,Integer,10223224
UntileNoChange,1000,Integer,10242134
WhileNeeded,1000,Integer,6224947
WhileNeeded,1000,Integer,6216414
WhileNeeded,1000,Integer,6637852
WhileNeeded,1000,Integer,5936448
WhileNeeded,1000,Integer,6098996
WhileNeeded,1000,Integer,6174036
WhileNeeded,1000,Integer,5861716
WhileNeeded,1000,Integer,6273421
WhileNeeded,1000,Integer,5772247
WhileNeeded,1000,Integer,6155013
WhileNeeded,1000,Integer,5858242
WhileNeeded,1000,Integer,6378913
WhileNeeded,1000,Integer,6317567
WhileNeeded,1000,Integer,5908795
WhileNeeded,1000,Integer,6517043
WhileNeeded,1000,Integer,6036730
WhileNeeded,1000,Integer,6133245
WhileNeeded,1000,Integer,6189636
WhileNeeded,1000,Integer,5696206
WhileNeeded,1000,Integer,5811771
WhileNeeded,1000,Integer,5776159
WhileNeeded,1000,Integer,5916496
WhileNeeded,1000,Integer,5763251
WhileNeeded,1000,Integer,5846270
WhileNeeded,1000,Integer,5785016
WhileNeeded,1000,Integer,5842317
WhileNeeded,1000,Integer,6104362
WhileNeeded,1000,Integer,5802753
WhileNeeded,1000,Integer,5757686
WhileNeeded,1000,Integer,5765914
WhileNeeded,1000,Integer,5676333
WhileNeeded,1000,Integer,10070953
WhileNeeded,1000,Integer,5737477
WhileNeeded,1000,Integer,6129471
WhileNeeded,1000,Integer,6577538
WhileNeeded,1000,Integer,5824348
WhileNeeded,1000,Integer,5844505
WhileNeeded,1000,Integer,5719590
WhileNeeded,1000,Integer,5749874
WhileNeeded,1000,Integer,5726130
WhileNeeded,1000,Integer,5796883
WhileNeeded,1000,Integer,5716033
WhileNeeded,1000,Integer,5810421
WhileNeeded,1000,Integer,6957812
WhileNeeded,1000,Integer,5754283
WhileNeeded,1000,Integer,5769775
WhileNeeded,1000,Integer,5691616
WhileNeeded,1000,Integer,5750506
WhileNeeded,1000,Integer,6232428
WhileNeeded,1000,Integer,6200840
WhileNeeded,1000,Integer,6227159
WhileNeeded,1000,Integer,7843799
WhileNeeded,1000,Integer,6101358
WhileNeeded,1000,Integer,6106627
WhileNeeded,1000,Integer,6255286
WhileNeeded,1000,Integer,6246735
WhileNeeded,1000,Integer,6234166
WhileNeeded,1000,Integer,6359896
WhileNeeded,1000,Integer,9220000
WhileNeeded,1000,Integer,6043704
WhileNeeded,1000,Integer,6353652
WhileNeeded,1000,Integer,7091906
WhileNeeded,1000,Integer,6290252
WhileNeeded,1000,Integer,6019627
WhileNeeded,1000,Integer,7030317
WhileNeeded,1000,Integer,7036617
WhileNeeded,1000,Integer,6226473
WhileNeeded,1000,Integer,6578600
WhileNeeded,1000,Integer,6900165
WhileNeeded,1000,Integer,6120222
WhileNeeded,1000,Integer,6037444
WhileNeeded,1000,Integer,6270618
WhileNeeded,1000,Integer,6006093
WhileNeeded,1000,Integer,6106137
WhileNeeded,1000,Integer,6113828
WhileNeeded,1000,Integer,5917647
WhileNeeded,1000,Integer,5938578
WhileNeeded,1000,Integer,5796095
WhileNeeded,1000,Integer,5831107
WhileNeeded,1000,Integer,5835063
WhileNeeded,1000,Integer,6097059
WhileNeeded,1000,Integer,6641906
